Timestamp,What is your current marital status?,Wife: How old were you at marriage? (in years),Husband: How old were you at marriage? (in years),Our Family Backgrounds:,Have you been married before?,Was buying a home or moving out a significant factor for marriage?,How did you meet?,How long was your relationship before marriage?,Did you attend Premarital Counselling?,Did you live together before marriage?,What were your views on marriage prior to the wedding?,"Do you believe in ""Soulmates"" or ""The One""?",Our views on religion:,Do you have children together?,What were your views on children?,On political views:,Relationship with In-laws is best described as: (Select Neutral if Not Applicable) [You and your in-laws],Relationship with In-laws is best described as: (Select Neutral if Not Applicable) [Your spouse/ex and their in-laws],Our household is primarily:,On managing household finances:,What best describes your personalities?,Do you share a key common interest?,Do you approve of each other's social circle?,How do you feel about pets & pet ownership?,Which top 3 values do you prioritise most in your life? [Me],Which top 3 values do you prioritise most in your life? [My spouse/ex],"Thank you for reaching the end! 

If there are there any other factors you feel are important for a relationship that were not mentioned, feel free to add them here. Otherwise, press submit!"
2/14/2026 22:09:31,Married or Widowed,28,37,Both our parents are Married,No,Yes,Workplace,4+ years,No,Yes,Both wanted marriage,Yes - we both do,Different beliefs but accepting,Yes,Mixed - One spouse wanted children,We share the same views,Very Good,Very Good,Dual income,Mostly aligned,Both Introverts,Yes,Yes,We both love and/or own pets,"Career Ambition, Family, Security/Stability","Career Ambition, Family, Security/Stability",
2/14/2026 22:29:16,Married or Widowed,32,33,Both our parents are Married,No,Yes,Mutual friends,4+ years,No,No,Both wanted marriage,No - we don't,Same beliefs and practices,Yes,Both wanted children,We have different views but respect them,Good,Very Good,Dual income,Mostly aligned,Both Extroverts,Yes,Yes,We are both indifferent or do not want pets,"Family, Travel","Career Ambition, Security/Stability, Self-Improvement, Travel",
2/14/2026 22:37:16,Married or Widowed,26,27,Both our parents are Married,No,Yes,Mutual friends,6 months–1 year,No,No,Both wanted marriage,Yes - we both do,Different beliefs but accepting,Yes,Both wanted children,We have different views but respect them,Very Good,Very Good,Single income,Mostly aligned,Both Extroverts,Yes,Yes,We both love and/or own pets,"Family, Travel, Health and Fitness","Family, Travel, Health and Fitness",Na
2/14/2026 22:50:55,Married or Widowed,31 yrs ,34,Both our parents are Married,No,No,Workplace,4+ years,Yes,No,Both wanted marriage,Yes - we both do,Different beliefs but accepting,Yes,Both wanted children,We have different views but respect them,Very Good,Very Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,We both love and/or own pets,Family,Family,Communication 
2/14/2026 23:23:19,Married or Widowed,24 yrs old,27 yrs old,Both our parents are Married,No,Yes,Mutual friends,4+ years,Yes,No,Both wanted marriage,Half - one of us does,Different beliefs but accepting,Yes,Both wanted children,We have different views but respect them,Very Good,Neutral,Single income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,"Mixed - One of us love pets, the other does not","Career Ambition, Family, Faith and Spirituality","Career Ambition, Family, Faith and Spirituality",
2/14/2026 23:32:52,Married or Widowed,31,33,Both our parents are Married,No,No,Mutual friends,2–4 years,Yes,No,Both wanted marriage,Yes - we both do,Same beliefs and practices,Yes,Both wanted children,We have different views but respect them,Very Good,Very Good,Dual income,Mostly aligned,Both Extroverts,Yes,Yes,We both love and/or own pets,Faith and Spirituality,Family,
2/14/2026 23:59:24,Married or Widowed,31,33,Both our parents are Married,No,Yes,School,4+ years,No,Yes,"Half - One was ambivalent, one wanted marriage",No - we don't,Same beliefs and practices,No,Both ambivalent or undecided,We have different views but respect them,Neutral,Neutral,Single income,Mostly aligned,Both Introverts,Yes,Yes,We both love and/or own pets,"Adventure/Trying New Things, Security/Stability, Self-Improvement","Adventure/Trying New Things, Self-Improvement, Travel","Belief and Values section makes too many presumptions (i.e., the way religion/soulmates/politics is described is simplistic and imposes a particular worldview on these complex topics). My suggestion: Interview (with your target audience) is a better methodology to build some hypotheses, then use the survey to size and validate. If that is too much trouble, then you could allow some of the questions to have an others answer (to allow for nuance on more complex topics)"
2/15/2026 0:14:16,Married or Widowed,29,34,Both our parents are Married,No,No,Distance relative,6 months–1 year,Yes,No,Both wanted marriage,Yes - we both do,Same beliefs and practices,Yes,Both wanted children,We both avoid discussing politics,Neutral,Neutral,Dual income,"Half aligned, half in disagreement",Mixed - One of each,Yes,Yes,"Mixed - One of us love pets, the other does not","Career Ambition, Family, Faith and Spirituality","Career Ambition, Faith and Spirituality, Community",
2/15/2026 7:42:26,Married or Widowed,32,31,Both our parents are Married,No,No,Online (e.g. Dating App),1–2 years,No,No,Both wanted marriage,No - we don't,Different beliefs but accepting,No,Both ambivalent or undecided,We share the same views,Good,Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,"Mixed - One of us love pets, the other does not","Career Ambition, Family, Security/Stability","Career Ambition, Family, Self-Improvement",
2/15/2026 8:16:52,Married or Widowed,32,31,Both our parents are Married,No,No,Social gathering by chance,1–2 years,No,No,Both wanted marriage,Yes - we both do,Same beliefs and practices,Yes,Both wanted children,We have different views but respect them,Neutral,Neutral,Dual income,"Half aligned, half in disagreement",Mixed - One of each,No,Somewhat,We both love and/or own pets,"Family, Faith and Spirituality, Security/Stability, Travel, Health and Fitness","Career Ambition, Family, Adventure/Trying New Things, Security/Stability, Travel",
2/15/2026 9:19:43,Married or Widowed,5,5,Both our parents are Married,No,No,School,4+ years,No,No,Both wanted marriage,Yes - we both do,Same beliefs and practices,Yes,Both wanted children,We share the same views,Neutral,Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,We are both indifferent or do not want pets,"Family, Security/Stability, Health and Fitness","Family, Security/Stability, Travel",
2/15/2026 10:51:53,Married or Widowed,30,30,Both our parents are Married,Half - One of us married before,Yes,Mutual friends,4+ years,No,Yes,Both wanted marriage,No - we don't,Same beliefs but different practices,Yes,Both wanted children,Our different views cause conflict,Neutral,Neutral,Single income,Rarely aligned,Mixed - One of each,No,Yes,We are both indifferent or do not want pets,"Career Ambition, Family, Faith and Spirituality, Security/Stability, Travel, Health and Fitness",Adventure/Trying New Things,
2/15/2026 13:03:02,Married or Widowed,34,35,Both our parents are Married,No,No,Workplace,2–4 years,No,Yes,Both wanted marriage,No - we don't,Different beliefs but accepting,No,Both didn't want children,We share the same views,Very Good,Good,Dual income,Mostly aligned,Both Introverts,Yes,Yes,We are both indifferent or do not want pets,"Family, Travel, Health and Fitness","Family, Travel, Health and Fitness",Healthy communication and ability to communicate 
2/15/2026 15:44:27,Married or Widowed,27,28,Both our parents are Married,No,Yes,School,4+ years,No,No,Both wanted marriage,Yes - we both do,Different beliefs but accepting,Yes,Both wanted children,We have different views but respect them,Very Good,Very Good,Dual income,Mostly aligned,Mixed - One of each,Yes,Yes,"Mixed - One of us love pets, the other does not","Career Ambition, Family, Faith and Spirituality","Career Ambition, Family",
2/15/2026 15:48:08,Married or Widowed,30,27,Both our parents are Married,No,No,Workplace,1–2 years,No,Yes,Both wanted marriage,Yes - we both do,Same beliefs and practices,No,Both ambivalent or undecided,We have different views but respect them,Neutral,Neutral,Dual income,Mostly aligned,Both Introverts,Yes,Somewhat,We both love and/or own pets,"Career Ambition, Family, Security/Stability","Family, Faith and Spirituality, Security/Stability",
2/15/2026 16:19:28,Married or Widowed,24,28,Both our parents are Married,No,No,Clubbing,2–4 years,No,Yes,Both wanted marriage,Half - one of us does,Same beliefs and practices,No,Both wanted children,We have different views but respect them,Very Good,Very Good,Dual income,"Half aligned, half in disagreement",Mixed - One of each,Yes,Yes,We both love and/or own pets,"Family, Security/Stability, Self-Improvement","Career Ambition, Family, Security/Stability",
2/15/2026 20:52:20,Married or Widowed,30,29,Both our parents are Married,No,Yes,Online (e.g. Dating App),6 months–1 year,No,Yes,Both wanted marriage,Half - one of us does,Same beliefs and practices,Yes,Both wanted children,We share the same views,Neutral,Neutral,Dual income,Mostly aligned,Mixed - One of each,Yes,Somewhat,We are both indifferent or do not want pets,"Career Ambition, Family, Security/Stability, Self-Improvement, Travel, Health and Fitness","Career Ambition, Family, Security/Stability, Travel",trust
2/16/2026 8:01:06,Married or Widowed,25,29,Both our parents are Married,No,Yes,School,2–4 years,No,No,Both wanted marriage,Half - one of us does,Same beliefs and practices,Yes,Both wanted children,We share the same views,Good,Very Good,Single income,Mostly aligned,Mixed - One of each,Yes,Yes,We are both indifferent or do not want pets,"Family, Adventure/Trying New Things, Health and Fitness","Career Ambition, Family, Health and Fitness",
2/16/2026 10:16:53,Married or Widowed,40s,40s,Both our parents are Married,No,No,Workplace,4+ years,Yes,No,"Half - One was ambivalent, one wanted marriage",No - we don't,Same beliefs and practices,No,Both ambivalent or undecided,We have different views but respect them,Good,Good,Dual income,"Half aligned, half in disagreement",Both Introverts,Yes,Somewhat,We are both indifferent or do not want pets,"Family, Faith and Spirituality, Self-Improvement","Family, Faith and Spirituality, Community",
2/16/2026 17:53:42,Married or Widowed,33,32,Both our parents are Married,No,No,Workplace,2–4 years,No,No,"Half - One was ambivalent, one wanted marriage",No - we don't,Different beliefs altogether,Yes,Both wanted children,We share the same views,Neutral,Neutral,Single income,Mostly aligned,Both Extroverts,Yes,Yes,We both love and/or own pets,Family,Career Ambition,
2/18/2026 6:30:59,Married or Widowed,26,26,Both our parents are Married,No,No,School,4+ years,No,No,Both wanted marriage,No - we don't,Same beliefs and practices,No,Both wanted children,We share the same views,Good,Neutral,Single income,Mostly aligned,Mixed - One of each,Yes,Yes,We are both indifferent or do not want pets,"Career Ambition, Family, Faith and Spirituality","Career Ambition, Family, Faith and Spirituality",
2/18/2026 15:25:06,Married or Widowed,33,35,Both our parents are Married,No,Yes,Online (e.g. Dating App),4+ years,No,Yes,Ambivalent,Yes - we both do,Same beliefs but different practices,No,Mixed - One spouse wanted children,We both avoid discussing politics,Neutral,Good,Dual income,Mostly aligned,Both Introverts,Yes,Yes,"Mixed - One of us love pets, the other does not","Adventure/Trying New Things, Self-Improvement, Health and Fitness","Family, Adventure/Trying New Things, Travel",
2/18/2026 15:28:00,Married or Widowed,33,35,Both our parents are Married,No,Yes,At an event,4+ years,No,Yes,"Half - One was ambivalent, one wanted marriage",Yes - we both do,Same beliefs but different practices,No,Both ambivalent or undecided,We have different views but respect them,Good,Neutral,Dual income,Mostly aligned,Both Introverts,Yes,Somewhat,"Mixed - One of us love pets, the other does not","Adventure/Trying New Things, Travel, Community","Security/Stability, Self-Improvement, Health and Fitness",
